idItem,name,genero_nominal,anyo_numerical,pais_nominal,director_nominal
1,"Toy Story (1995)","Animation",1995,"USA","John Lasseter"
2,"Jumanji (1995)","Adventure",1995,"USA","Joe Johnston"
3,"Grumpier Old Men (1995)","Comedy",1995,"USA","Howard Deutch"
4,"Waiting to Exhale (1995)","Comedy",1995,"USA","Forest Whitaker"
5,"Father of the Bride Part II (1995)","Comedy",1995,"USA","Charles Shyer"
6,"Heat (1995)","Crime",1995,"USA","Michael Mann"
7,"Sabrina (1995)","Comedy",1995,"Germany","Sydney Pollack"
8,"Tom and Huck (1995)","Adventure",1995,"USA","Peter Hewitt"
9,"Sudden Death (1995)","Action",1995,"USA","Peter Hyams"
10,"GoldenEye (1995)","Action",1995,"UK","Martin Campbell"
11,"American President, The (1995)","Comedy",1995,"USA","Rob Reiner"
12,"Dracula: Dead and Loving It (1995)","Comedy",1995,"USA","Mel Brooks"
13,"Balto (1995)","Family",1995,"USA","Simon Wells"
14,"Nixon (1995)","Biography",1995,"USA","Oliver Stone"
15,"Cutthroat Island (1995)","Action",1995,"USA","Renny Harlin"
16,"Casino (1995)","Biography",1995,"USA","Martin Scorsese"
17,"Sense and Sensibility (1995)","Drama",1995,"USA","Ang Lee"
18,"Four Rooms (1995)","Comedy",1995,"USA","Allison Anders"
19,"Ace Ventura: When Nature Calls (1995)","Action",1995,"USA","Steve Oedekerk"
20,"Money Train (1995)","Action",1995,"USA","Joseph Ruben"
21,"Get Shorty (1995)","Comedy",1995,"USA","Barry Sonnenfeld"
22,"Copycat (1995)","Crime",1995,"USA","Jon Amiel"
23,"Assassins (1995)","Action",1995,"USA","Richard Donner"
24,"Powder (1995)","Drama",1995,"USA","Victor Salva"
25,"Leaving Las Vegas (1995)","Drama",1995,"France","Mike Figgis"
26,"Othello (1995)","Drama",1995,"USA","Oliver Parker"
27,"Now and Then (1995)","Comedy",1995,"USA","Lesli Linka Glatter"
28,"Persuasion (1995)","Romance",1995,"UK","Roger Michell"
29,"City of Lost Children, The (1995)","Adventure",1995,"France","Marc Caro"
30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime",1995,"France","Yimou Zhang"
31,"Dangerous Minds (1995)","Crime",1995,"USA","John N. Smith"
32,"12 Monkeys (Twelve Monkeys) (1995)","Mystery",1995,"USA","Terry Gilliam"
